Region,Country,Population,Facility Name,Facility Type,Number of Beds,Number of Doctors,Number of Nurses,Annual Patient Visits,Emergency Response Time (minutes), Funding Received (USD) ,Electricity Availability,Internet Availability,Patient Satisfaction Rate (%),Average Distance to Facility (km),Urban_Rural
Central Senegal,Senegal,3134,Central Facility 215,Health Center,17,12,26,2614,45,"159,898",No,No,65.8,13.5,Rural
Western Kenya,Kenya,5167,Western Facility 216,Health Center,49,12,32,15290,48,"88,749",Yes,Yes,72.8,16.5,Urban
Central Senegal,Senegal,6242,Central Facility 217,Hospital,20,19,17,9701,14,"150,390",No,No,82.7,17.4,Urban
Western Uganda,Uganda,7794,Western Facility 218,Hospital,80,1,46,17053,7,"167,380",Yes,No,61.2,6.3,Urban
Northern Ghana,Ghana,2925,Northern Facility 219,Hospital,38,17,7,14370,56,"171,269",No,No,67.4,11.7,Rural
Central Senegal,Senegal,9655,Central Facility 220,Health Center,89,18,38,4298,52,"193,787",Yes,Yes,65.7,8.1,Urban
Central Senegal,Senegal,1705,Central Facility 221,Health Center,95,8,13,5004,23,"154,913",No,No,74.1,15.4,Rural
Southern Zambia,Zambia,7225,Southern Facility 222,Clinic,62,9,38,2885,21,"40,462",Yes,No,65.1,5.9,Urban
Eastern Ethiopia,Ethiopia,8557,Eastern Facility 223,Hospital,32,14,41,4717,53,"76,400",Yes,Yes,68.4,3.5,Urban
Eastern Ethiopia,Ethiopia,9819,Eastern Facility 224,Hospital,37,8,8,12522,27,"37,475",Yes,No,89.9,6.8,Urban
Central Malawi,Malawi,3036,Central Facility 225,Clinic,61,8,14,3719,57,"101,053",Yes,Yes,88.3,15.8,Rural
Eastern Nigeria,Nigeria,7167,Eastern Facility 226,Health Center,57,10,32,18057,33,"85,879",No,No,79.8,4.1,Urban
Dar es Salaam,Tanzania,3096,Dar Facility 227,Health Center,5,12,41,3245,22,"33,061",Yes,Yes,88.2,18,Rural
Southern Zambia,Zambia,5953,Southern Facility 228,Clinic,67,18,10,14774,20,"100,963",No,Yes,63.6,2.2,Urban
Northern Ghana,Ghana,1524,Northern Facility 229,Health Center,40,8,28,5913,6,"190,788",No,Yes,82.3,17.5,Rural
Eastern Nigeria,Nigeria,3356,Eastern Facility 230,Hospital,53,6,49,16746,9,"109,175",No,Yes,66.5,3.9,Rural
Northern Ghana,Ghana,6522,Northern Facility 231,Clinic,36,7,44,17761,38,"192,747",Yes,Yes,62,10.6,Urban
Central Senegal,Senegal,1550,Central Facility 232,Health Center,45,17,36,13378,52,"29,755",No,No,94,16.2,Rural
Eastern Ethiopia,Ethiopia,6964,Eastern Facility 233,Hospital,68,17,36,10752,9,"80,729",Yes,No,86.2,11.9,Urban
Western Uganda,Uganda,2254,Western Facility 234,Clinic,74,6,22,4038,9,"99,374",Yes,No,61.6,16.6,Rural
Eastern Ethiopia,Ethiopia,1648,Eastern Facility 235,Health Center,48,16,6,16225,46,"107,197",No,Yes,84.5,6.6,Rural
Eastern Rwanda,Rwanda,8346,Eastern Facility 236,Clinic,9,1,6,13410,45,"16,252",No,No,66.8,3.3,Urban
Eastern Nigeria,Nigeria,6663,Eastern Facility 237,Health Center,92,1,39,6808,11,"56,522",No,No,87.9,1.3,Urban
Central Senegal,Senegal,5113,Central Facility 238,Health Center,92,1,41,5965,8,"63,126",Yes,Yes,74.3,9.3,Urban
Eastern Rwanda,Rwanda,5681,Eastern Facility 239,Health Center,70,19,44,8579,49,"96,080",No,No,87.9,1.9,Urban
Eastern Nigeria,Nigeria,2391,Eastern Facility 240,Hospital,75,9,10,14002,12,"50,275",Yes,No,92.8,16,Rural
Eastern Rwanda,Rwanda,3601,Eastern Facility 241,Clinic,29,8,6,17318,18,"174,848",Yes,No,83.7,11.2,Rural
Central Malawi,Malawi,8932,Central Facility 242,Hospital,5,3,8,2316,8,"16,927",No,Yes,81.3,1.8,Urban
Southern Zambia,Zambia,2684,Southern Facility 243,Health Center,8,9,27,15589,30,"80,459",Yes,No,65.9,6.8,Rural
Eastern Nigeria,Nigeria,3877,Eastern Facility 244,Hospital,66,6,9,10328,52,"114,599",No,Yes,79.7,16.8,Rural
Eastern Rwanda,Rwanda,7096,Eastern Facility 245,Health Center,52,14,10,8900,29,"118,730",No,Yes,80.1,11.2,Urban
Northern Ghana,Ghana,9411,Northern Facility 246,Hospital,21,16,46,3882,37,"23,963",Yes,No,76.3,19.7,Urban
Western Uganda,Uganda,6531,Western Facility 247,Health Center,30,5,18,2512,39,"108,301",No,No,65.2,3,Urban
Central Malawi,Malawi,2258,Central Facility 248,Health Center,35,1,43,8157,14,"174,862",Yes,No,91.2,14.4,Rural
Central Malawi,Malawi,2711,Central Facility 249,Hospital,14,1,16,14581,51,"66,898",No,Yes,60.7,12.9,Rural
Dar es Salaam,Tanzania,7157,Dar Facility 250,Hospital,48,8,28,11805,52,"175,326",Yes,No,79.2,15.6,Urban
Dar es Salaam,Tanzania,2103,Dar Facility 251,Health Center,14,15,15,15759,12,"155,957",No,No,62.8,19.1,Rural
Eastern Rwanda,Rwanda,2418,Eastern Facility 252,Clinic,98,13,25,7106,15,"74,972",Yes,Yes,74.8,15.8,Rural
Western Uganda,Uganda,3343,Western Facility 253,Health Center,73,8,14,2857,46,"110,750",No,Yes,66.9,16.8,Rural
Eastern Ethiopia,Ethiopia,1432,Eastern Facility 254,Clinic,63,12,49,5798,9,"196,434",No,Yes,69,3.2,Rural
Eastern Nigeria,Nigeria,6212,Eastern Facility 255,Health Center,36,7,33,6273,30,"24,870",No,Yes,72.5,17.9,Urban
Central Senegal,Senegal,1233,Central Facility 256,Health Center,85,8,19,3849,39,"106,640",Yes,No,73.8,16.6,Rural
Eastern Nigeria,Nigeria,2283,Eastern Facility 257,Health Center,94,3,12,7965,5,"186,361",Yes,Yes,62.4,10.9,Rural
Western Kenya,Kenya,7376,Western Facility 258,Hospital,41,10,38,12511,14,"20,493",Yes,Yes,80.8,7.3,Urban
Southern Zambia,Zambia,9235,Southern Facility 259,Health Center,80,19,13,6599,19,"86,493",Yes,No,87.9,18.4,Urban
Central Senegal,Senegal,5969,Central Facility 260,Hospital,25,2,7,12003,23,"72,882",No,No,69.7,5.2,Urban
Western Kenya,Kenya,9595,Western Facility 261,Hospital,67,11,34,13720,11,"19,698",No,No,82.3,2.5,Urban
Western Uganda,Uganda,8624,Western Facility 262,Health Center,94,17,28,19978,30,"81,662",Yes,Yes,60.6,3.7,Urban
Western Kenya,Kenya,2438,Western Facility 263,Health Center,44,19,33,11981,27,"75,171",Yes,No,64.5,19.4,Rural
Southern Zambia,Zambia,3702,Southern Facility 264,Health Center,40,14,10,5067,19,"113,538",No,Yes,80.8,9.5,Rural
Central Senegal,Senegal,5908,Central Facility 265,Hospital,73,7,38,19582,26,"32,851",Yes,No,86.9,16.3,Urban
Western Uganda,Uganda,5806,Western Facility 266,Clinic,78,8,23,19328,18,"129,628",Yes,Yes,94.3,5.6,Urban
Eastern Ethiopia,Ethiopia,9323,Eastern Facility 267,Health Center,39,10,41,17457,39,"88,773",Yes,No,65.9,3.6,Urban
Central Malawi,Malawi,6372,Central Facility 268,Clinic,31,10,46,5185,5,"41,743",No,No,87.9,17.4,Urban
Eastern Ethiopia,Ethiopia,5309,Eastern Facility 269,Clinic,45,5,41,13382,48,"107,271",No,No,70,1.6,Urban
Southern Zambia,Zambia,7074,Southern Facility 270,Clinic,55,19,10,11001,37,"163,515",No,Yes,79.4,7.5,Urban
Eastern Nigeria,Nigeria,5581,Eastern Facility 271,Clinic,94,17,24,11272,60,"57,828",No,Yes,60.8,9.5,Urban
Eastern Ethiopia,Ethiopia,2098,Eastern Facility 272,Health Center,49,9,9,12327,20,"72,021",Yes,Yes,82.3,17.1,Rural
Eastern Nigeria,Nigeria,6361,Eastern Facility 273,Hospital,69,8,15,14435,36,"129,517",Yes,No,92.3,15.6,Urban
Eastern Rwanda,Rwanda,5926,Eastern Facility 274,Clinic,90,8,15,4778,45,"192,004",No,Yes,77.6,7.2,Urban
Dar es Salaam,Tanzania,2885,Dar Facility 275,Clinic,62,4,50,17421,23,"132,171",No,Yes,76.5,19.8,Rural
Eastern Rwanda,Rwanda,6476,Eastern Facility 276,Clinic,12,20,32,9103,20,"38,239",Yes,No,71.8,16.4,Urban
Eastern Nigeria,Nigeria,6884,Eastern Facility 277,Health Center,6,10,45,15908,35,"30,026",Yes,Yes,75.8,15.9,Urban
Eastern Nigeria,Nigeria,8171,Eastern Facility 278,Hospital,65,12,19,6076,54,"91,800",No,Yes,69.7,3.3,Urban
Southern Zambia,Zambia,5688,Southern Facility 279,Clinic,59,8,47,15553,19,"169,507",Yes,Yes,80.4,7.2,Urban
Eastern Rwanda,Rwanda,5562,Eastern Facility 280,Clinic,59,17,31,2395,18,"122,909",No,Yes,70.3,1.9,Urban
Central Malawi,Malawi,9724,Central Facility 281,Health Center,18,14,27,3309,41,"100,690",Yes,No,80.9,14.3,Urban
Eastern Nigeria,Nigeria,4034,Eastern Facility 282,Health Center,58,5,39,2334,50,"71,522",No,Yes,86.6,10.8,Rural
Eastern Rwanda,Rwanda,7270,Eastern Facility 283,Health Center,90,8,26,16387,35,"44,197",No,Yes,82.4,19.4,Urban
Central Senegal,Senegal,3569,Central Facility 284,Health Center,94,18,9,14078,54,"128,378",Yes,No,63,6.5,Rural
Eastern Rwanda,Rwanda,9380,Eastern Facility 285,Hospital,49,1,6,10736,53,"54,188",Yes,No,73.8,16.9,Urban
Northern Ghana,Ghana,7671,Northern Facility 286,Clinic,49,12,25,19327,60,"187,563",Yes,Yes,66.4,2.3,Urban
Dar es Salaam,Tanzania,3908,Dar Facility 287,Health Center,62,14,36,5789,23,"198,448",Yes,Yes,83,15.7,Rural
Western Uganda,Uganda,7185,Western Facility 288,Clinic,18,11,5,10672,33,"84,261",No,Yes,71,18.9,Urban
Eastern Nigeria,Nigeria,2485,Eastern Facility 289,Health Center,15,15,34,10629,59,"148,536",No,Yes,92.3,18.2,Rural
Dar es Salaam,Tanzania,618,Dar Facility 290,Clinic,88,4,27,17276,48,"107,264",Yes,No,67.6,5,Rural
Southern Zambia,Zambia,7762,Southern Facility 291,Health Center,48,3,32,5543,43,"155,932",No,No,92.2,16.6,Urban
Western Uganda,Uganda,3374,Western Facility 292,Clinic,13,13,24,15591,50,"161,176",Yes,Yes,82.9,17.6,Rural
Central Senegal,Senegal,5807,Central Facility 293,Hospital,7,3,31,2180,44,"92,224",Yes,Yes,73.9,6.3,Urban
Western Uganda,Uganda,6377,Western Facility 294,Health Center,88,10,23,12615,47,"139,623",No,No,81.3,12.7,Urban
Eastern Nigeria,Nigeria,2578,Eastern Facility 295,Hospital,74,4,6,4213,49,"50,391",Yes,No,65.2,16.9,Rural
Northern Ghana,Ghana,9264,Northern Facility 296,Hospital,64,12,23,15992,51,"48,259",No,No,92.5,13.3,Urban
Central Malawi,Malawi,8997,Central Facility 297,Clinic,58,7,45,3182,51,"78,944",Yes,Yes,92,17.2,Urban
Central Malawi,Malawi,3121,Central Facility 298,Hospital,96,1,14,8422,15,"181,323",Yes,No,65.7,12.1,Rural
Eastern Nigeria,Nigeria,7378,Eastern Facility 299,Health Center,64,2,26,1843,44,"88,280",Yes,No,61.6,7.7,Urban
Dar es Salaam,Tanzania,8770,Dar Facility 300,Hospital,5,18,46,16314,38,"56,775",Yes,No,89.9,16.8,Urban
Eastern Rwanda,Rwanda,3437,Eastern Facility 301,Hospital,57,20,25,17154,54,"69,267",Yes,No,69.9,3.5,Rural
Eastern Nigeria,Nigeria,2472,Eastern Facility 302,Health Center,85,2,40,5945,25,"129,215",Yes,Yes,73.1,16.2,Rural
Eastern Nigeria,Nigeria,6027,Eastern Facility 303,Hospital,18,6,32,10407,58,"41,058",No,Yes,63,16.4,Urban
Eastern Rwanda,Rwanda,5932,Eastern Facility 304,Hospital,91,9,8,5762,34,"143,415",Yes,Yes,77.6,18.9,Urban
Eastern Ethiopia,Ethiopia,8418,Eastern Facility 305,Health Center,93,15,17,8060,41,"18,788",Yes,Yes,88.5,14.9,Urban
Western Kenya,Kenya,8019,Western Facility 306,Clinic,20,15,7,17949,53,"41,442",No,Yes,64.2,13.4,Urban
Eastern Nigeria,Nigeria,8324,Eastern Facility 307,Hospital,72,12,43,7910,17,"122,292",Yes,Yes,65,4.3,Urban
Eastern Nigeria,Nigeria,9350,Eastern Facility 308,Health Center,26,18,35,19893,59,"178,048",No,Yes,88.2,9.1,Urban
Western Kenya,Kenya,1657,Western Facility 309,Hospital,62,19,50,10140,23,"85,398",Yes,No,73,15.4,Rural
Eastern Rwanda,Rwanda,3130,Eastern Facility 310,Clinic,24,3,45,19163,23,"150,117",No,Yes,69,15.9,Rural
Central Malawi,Malawi,7302,Central Facility 311,Clinic,73,10,12,7384,12,"161,178",No,No,63.4,18.2,Urban
Southern Zambia,Zambia,9373,Southern Facility 312,Hospital,65,3,18,11369,19,"150,938",No,No,71,5.3,Urban
Central Malawi,Malawi,1209,Central Facility 313,Hospital,95,9,5,1023,52,"159,470",No,Yes,73.4,8.9,Rural
Eastern Ethiopia,Ethiopia,1439,Eastern Facility 314,Hospital,40,6,27,10330,51,"33,620",No,No,67,12.2,Rural
Western Kenya,Kenya,4466,Western Facility 315,Hospital,15,13,29,1807,38,"27,266",No,Yes,88.3,5.5,Rural
Western Uganda,Uganda,1269,Western Facility 316,Health Center,85,6,43,11357,24,"121,539",Yes,No,65.3,4.4,Rural
Eastern Ethiopia,Ethiopia,2754,Eastern Facility 317,Clinic,17,19,38,8941,40,"105,694",No,No,75.6,15.5,Rural
Dar es Salaam,Tanzania,7740,Dar Facility 318,Clinic,51,6,36,18936,22,"13,916",Yes,No,64.5,1.5,Urban
Eastern Rwanda,Rwanda,6303,Eastern Facility 319,Hospital,63,20,44,17344,11,"16,638",No,No,89.3,3,Urban
Eastern Rwanda,Rwanda,944,Eastern Facility 320,Health Center,94,14,24,8883,16,"18,869",Yes,No,90.3,15.6,Rural
Eastern Ethiopia,Ethiopia,1215,Eastern Facility 321,Hospital,51,16,38,13979,60,"47,796",No,No,68.8,5.1,Rural
Central Malawi,Malawi,5913,Central Facility 322,Clinic,68,13,30,15771,19,"133,163",No,Yes,63,1.6,Urban
Western Kenya,Kenya,1619,Western Facility 323,Hospital,83,20,34,17714,17,"107,441",No,Yes,69.1,13.1,Rural
Western Kenya,Kenya,9660,Western Facility 324,Hospital,100,18,23,4527,42,"11,537",No,Yes,72.7,7.9,Urban
Eastern Nigeria,Nigeria,2467,Eastern Facility 325,Hospital,100,5,21,3318,53,"136,111",Yes,No,75.9,19.9,Rural
Central Senegal,Senegal,1322,Central Facility 326,Clinic,83,6,42,8946,42,"64,217",Yes,No,62.9,11.4,Rural
Eastern Ethiopia,Ethiopia,5498,Eastern Facility 327,Clinic,13,16,12,8726,15,"110,008",Yes,No,76,7.9,Urban
Eastern Ethiopia,Ethiopia,8293,Eastern Facility 328,Hospital,86,18,15,17797,13,"100,696",Yes,Yes,85.3,14.3,Urban
Western Kenya,Kenya,1126,Western Facility 329,Clinic,20,3,9,17298,9,"167,340",Yes,Yes,74,14.1,Rural
Eastern Rwanda,Rwanda,3609,Eastern Facility 330,Hospital,89,2,35,12385,50,"159,708",No,No,70,8.1,Rural
Eastern Rwanda,Rwanda,8875,Eastern Facility 331,Health Center,78,11,37,10708,37,"101,976",No,Yes,89.6,13.5,Urban
Eastern Rwanda,Rwanda,1812,Eastern Facility 332,Health Center,25,18,43,3855,54,"176,385",No,No,66.5,5.2,Rural
Eastern Nigeria,Nigeria,8796,Eastern Facility 333,Clinic,77,18,8,10918,22,"89,997",No,No,70,2.9,Urban
Eastern Nigeria,Nigeria,4013,Eastern Facility 334,Clinic,90,8,6,8077,16,"74,675",No,Yes,88.9,13.8,Rural
Western Kenya,Kenya,7030,Western Facility 335,Clinic,67,7,39,5320,15,"152,948",Yes,Yes,78.4,11.8,Urban
Eastern Nigeria,Nigeria,7871,Eastern Facility 336,Clinic,97,18,32,8960,6,"162,316",No,Yes,88.8,15.7,Urban
Southern Zambia,Zambia,4360,Southern Facility 337,Clinic,78,16,23,3984,57,"58,835",Yes,No,76.5,6,Rural
Western Uganda,Uganda,9823,Western Facility 338,Health Center,39,11,36,16565,24,"27,370",Yes,Yes,87.8,18.1,Urban
Dar es Salaam,Tanzania,2546,Dar Facility 339,Health Center,11,4,12,15394,34,"142,389",No,Yes,93.2,19.4,Rural
Eastern Ethiopia,Ethiopia,3526,Eastern Facility 340,Health Center,26,19,38,17123,10,"141,645",Yes,No,76.2,14.3,Rural
Central Malawi,Malawi,7291,Central Facility 341,Health Center,24,18,31,15896,14,"93,623",Yes,No,78.1,2.2,Urban
Northern Ghana,Ghana,8455,Northern Facility 342,Health Center,24,12,43,18266,32,"174,806",Yes,No,92,12.3,Urban
Central Malawi,Malawi,9204,Central Facility 343,Hospital,33,9,44,15495,30,"29,404",Yes,Yes,71,17,Urban
Western Kenya,Kenya,953,Western Facility 344,Clinic,55,14,42,9339,33,"65,515",No,No,67.8,4.1,Rural
Eastern Ethiopia,Ethiopia,9736,Eastern Facility 345,Clinic,38,3,8,8098,39,"61,413",Yes,Yes,81.8,17.6,Urban
Eastern Ethiopia,Ethiopia,4419,Eastern Facility 346,Hospital,71,20,16,8397,46,"112,664",No,Yes,79,19,Rural
Dar es Salaam,Tanzania,2201,Dar Facility 347,Hospital,14,10,9,11593,17,"61,495",Yes,Yes,84.1,3.3,Rural
Central Senegal,Senegal,3001,Central Facility 348,Clinic,28,18,8,1750,40,"82,971",Yes,No,94.1,6.3,Rural
Central Senegal,Senegal,1804,Central Facility 349,Hospital,90,18,5,16592,59,"88,454",No,No,85.1,8.3,Rural
Northern Ghana,Ghana,8451,Northern Facility 350,Health Center,65,13,28,17409,16,"150,561",No,Yes,61.5,2.1,Urban
Northern Ghana,Ghana,1653,Northern Facility 351,Hospital,40,8,11,10337,14,"156,582",No,Yes,61.6,17,Rural
Western Uganda,Uganda,1845,Western Facility 352,Hospital,39,6,29,17049,11,"181,603",No,Yes,74.3,2.3,Rural
Central Senegal,Senegal,8985,Central Facility 353,Hospital,43,16,23,8070,8,"128,976",No,Yes,89.6,8.4,Urban
Eastern Nigeria,Nigeria,8960,Eastern Facility 354,Health Center,63,3,21,15872,24,"60,109",No,Yes,63.3,17.5,Urban
Eastern Ethiopia,Ethiopia,3229,Eastern Facility 355,Hospital,26,12,5,1968,53,"104,842",Yes,No,89.7,18.1,Rural
Southern Zambia,Zambia,4702,Southern Facility 356,Clinic,17,11,25,19721,39,"39,312",No,No,63.7,10.6,Rural
Eastern Ethiopia,Ethiopia,5522,Eastern Facility 357,Hospital,67,2,18,12056,17,"92,259",Yes,No,82.3,2,Urban
Eastern Ethiopia,Ethiopia,9900,Eastern Facility 358,Clinic,86,15,28,4097,55,"61,718",No,Yes,75.7,6.1,Urban
Eastern Nigeria,Nigeria,4674,Eastern Facility 359,Health Center,18,16,10,12321,47,"173,485",Yes,Yes,86.3,1.8,Rural
Eastern Ethiopia,Ethiopia,4758,Eastern Facility 360,Health Center,64,2,47,5773,23,"106,211",No,No,84.4,14.2,Rural
Eastern Rwanda,Rwanda,3449,Eastern Facility 361,Health Center,20,18,19,7548,54,"66,974",Yes,No,77.8,17.6,Rural
Eastern Rwanda,Rwanda,6093,Eastern Facility 362,Clinic,57,13,27,17067,6,"112,761",No,No,64.4,3.9,Urban
Central Senegal,Senegal,603,Central Facility 363,Hospital,74,14,44,19830,56,"157,656",No,Yes,60.8,18.4,Rural
Eastern Ethiopia,Ethiopia,2153,Eastern Facility 364,Health Center,79,13,14,17721,57,"88,492",Yes,No,90.8,7.7,Rural
Northern Ghana,Ghana,6613,Northern Facility 365,Hospital,65,9,35,7235,15,"188,290",Yes,No,68.3,13.4,Urban
Central Senegal,Senegal,8365,Central Facility 366,Hospital,23,18,49,6354,38,"136,245",Yes,Yes,64.8,4.7,Urban
Western Uganda,Uganda,2685,Western Facility 367,Hospital,8,7,30,4851,15,"131,129",No,No,84.1,6.3,Rural
Eastern Rwanda,Rwanda,4836,Eastern Facility 368,Health Center,95,14,40,16603,37,"89,250",Yes,No,65.6,2,Rural
Dar es Salaam,Tanzania,4436,Dar Facility 369,Hospital,17,10,18,5203,35,"48,870",No,No,90.5,3.3,Rural
Western Uganda,Uganda,7962,Western Facility 370,Hospital,31,2,46,3020,20,"53,521",No,Yes,79.7,1.4,Urban
Eastern Ethiopia,Ethiopia,988,Eastern Facility 371,Hospital,58,6,9,6959,33,"182,229",No,No,78.6,11.7,Rural
Western Kenya,Kenya,6389,Western Facility 372,Health Center,22,6,16,4193,50,"24,010",No,No,72.5,7.9,Urban
Dar es Salaam,Tanzania,9544,Dar Facility 373,Clinic,79,19,49,8318,10,"135,942",Yes,No,93.7,14.9,Urban
Northern Ghana,Ghana,7707,Northern Facility 374,Health Center,36,10,7,11556,25,"101,553",Yes,Yes,86.2,15.7,Urban
Eastern Ethiopia,Ethiopia,5435,Eastern Facility 375,Health Center,86,12,10,9121,21,"134,664",Yes,Yes,63.1,9.2,Urban
Western Uganda,Uganda,7461,Western Facility 376,Hospital,6,19,27,12657,27,"144,269",No,Yes,78.8,1.9,Urban
Eastern Nigeria,Nigeria,4930,Eastern Facility 377,Health Center,79,14,27,7496,10,"18,972",Yes,No,92.2,6.4,Rural
Dar es Salaam,Tanzania,4141,Dar Facility 378,Health Center,30,14,6,9660,34,"83,989",No,No,91.6,6.9,Rural
Southern Zambia,Zambia,1037,Southern Facility 379,Clinic,65,1,49,18543,50,"70,451",Yes,Yes,68.2,10,Rural
Eastern Ethiopia,Ethiopia,2640,Eastern Facility 380,Clinic,42,3,39,3774,19,"190,235",Yes,No,81.5,8.8,Rural
Eastern Nigeria,Nigeria,3338,Eastern Facility 381,Health Center,67,18,21,9509,30,"143,287",No,Yes,71.2,10.8,Rural
Southern Zambia,Zambia,8984,Southern Facility 382,Health Center,49,11,49,1780,49,"30,404",No,No,81,15.9,Urban
Northern Ghana,Ghana,8354,Northern Facility 383,Hospital,56,15,39,7429,55,"78,481",No,Yes,64.5,8.3,Urban
Northern Ghana,Ghana,7540,Northern Facility 384,Health Center,80,9,8,11274,39,"61,893",Yes,No,88.2,4.9,Urban
Central Malawi,Malawi,2809,Central Facility 385,Health Center,7,6,43,9109,8,"39,271",Yes,Yes,67.9,18,Rural
Eastern Ethiopia,Ethiopia,4394,Eastern Facility 386,Hospital,57,1,10,11747,7,"114,540",Yes,Yes,75,5.9,Rural
Western Uganda,Uganda,8732,Western Facility 387,Health Center,71,11,16,13649,27,"24,649",Yes,Yes,85.6,4.7,Urban
Central Senegal,Senegal,8701,Central Facility 388,Clinic,87,14,23,7554,39,"144,395",Yes,Yes,94.6,3.3,Urban
Northern Ghana,Ghana,5038,Northern Facility 389,Clinic,53,6,40,11142,12,"72,074",Yes,Yes,69.4,19,Urban
Northern Ghana,Ghana,4431,Northern Facility 390,Health Center,59,12,29,14230,25,"191,340",Yes,Yes,77.2,8.8,Rural
Eastern Nigeria,Nigeria,7644,Eastern Facility 391,Hospital,44,18,8,19023,33,"22,750",No,No,82.4,18.4,Urban
Western Uganda,Uganda,7137,Western Facility 392,Clinic,71,10,6,6036,55,"59,056",Yes,Yes,61.5,3.9,Urban
Western Kenya,Kenya,1391,Western Facility 393,Clinic,77,12,34,16160,45,"175,742",No,Yes,86.8,13.4,Rural
Northern Ghana,Ghana,5285,Northern Facility 394,Health Center,82,14,17,14942,35,"10,264",No,No,73.5,10.3,Urban
Dar es Salaam,Tanzania,3475,Dar Facility 395,Hospital,53,13,24,10706,33,"132,645",Yes,Yes,87.7,10.3,Rural
Western Kenya,Kenya,6947,Western Facility 396,Clinic,58,3,33,1208,11,"121,477",Yes,No,76.3,8.6,Urban
Eastern Rwanda,Rwanda,3272,Eastern Facility 397,Hospital,74,14,28,7530,8,"155,722",No,No,65.8,3.5,Rural
Eastern Nigeria,Nigeria,2258,Eastern Facility 398,Hospital,53,20,36,9342,35,"191,655",Yes,No,61.2,10.2,Rural
Eastern Nigeria,Nigeria,4395,Eastern Facility 399,Health Center,35,19,32,2617,46,"119,680",No,Yes,73.5,2.3,Rural
Central Malawi,Malawi,907,Central Facility 400,Health Center,23,13,30,1516,40,"127,500",No,No,62.9,16.8,Rural
Eastern Rwanda,Rwanda,2891,Eastern Facility 401,Clinic,57,11,39,19623,13,"119,415",No,Yes,69.4,15.6,Rural
Southern Zambia,Zambia,4692,Southern Facility 402,Clinic,91,2,18,11965,52,"81,406",No,No,93.4,13.1,Rural
Western Kenya,Kenya,2706,Western Facility 403,Hospital,8,18,21,3156,17,"22,291",No,Yes,70.2,18.6,Rural
Dar es Salaam,Tanzania,4515,Dar Facility 404,Clinic,60,9,33,11383,37,"35,297",Yes,No,60,6.9,Rural
Western Uganda,Uganda,3710,Western Facility 405,Health Center,48,5,17,12743,11,"177,302",No,Yes,94.5,8.1,Rural
Eastern Rwanda,Rwanda,4288,Eastern Facility 406,Health Center,26,1,28,18070,43,"80,524",Yes,No,83.3,9.4,Rural
Northern Ghana,Ghana,1245,Northern Facility 407,Clinic,47,8,27,1975,55,"170,811",No,No,67.9,16.8,Rural
Western Uganda,Uganda,8626,Western Facility 408,Clinic,35,17,36,15348,34,"118,333",No,No,88.7,8.2,Urban
Southern Zambia,Zambia,5327,Southern Facility 409,Hospital,10,16,24,10768,22,"164,191",No,No,63,1.8,Urban
Southern Zambia,Zambia,5032,Southern Facility 410,Clinic,97,17,49,18245,15,"75,579",No,No,88.5,18.1,Urban
Eastern Rwanda,Rwanda,7460,Eastern Facility 411,Clinic,73,18,11,2709,8,"137,647",No,No,64.2,15.6,Urban
Southern Zambia,Zambia,934,Southern Facility 412,Hospital,76,11,42,4956,29,"49,710",No,No,94.2,11.7,Rural
Western Kenya,Kenya,7017,Western Facility 413,Hospital,6,4,41,15564,47,"64,639",No,No,77.1,1.5,Urban
Western Uganda,Uganda,630,Western Facility 414,Clinic,36,18,20,2797,25,"25,653",Yes,No,94.7,3.4,Rural
Central Senegal,Senegal,7401,Central Facility 415,Clinic,62,5,13,12962,17,"26,512",No,Yes,67.1,13.3,Urban
Southern Zambia,Zambia,6248,Southern Facility 416,Health Center,63,10,30,15394,35,"149,620",No,Yes,77.6,7.8,Urban
Southern Zambia,Zambia,6781,Southern Facility 417,Clinic,96,11,46,13356,36,"152,271",No,No,91.7,14.7,Urban
